name,birthday,nationality
Tom Hanks,1956-07-09,USA
Meryl Streep,1949-06-22,USA
Cate Blanchett,1969-05-14,Australiana
Denzel Washington,1954-12-28,USA
Julia Roberts,1967-10-28,USA
Brad Pitt,1963-12-18,USA
Angelina Jolie,1975-06-04,USA
Johnny Depp,1963-06-09,USA
Nicole Kidman,1967-06-20,Australiana
George Clooney,1961-05-06,USA
Sandra Bullock,1964-07-26,USA
Robert Downey Jr.,1965-04-04,USA
Jennifer Lawrence,1990-08-15,USA
Matt Damon,1970-10-08,USA
Emma Stone,1988-11-06,USA
Christian Bale,1974-01-30,Britânico
Charlize Theron,1975-08-07,Sul-africana
Ryan Gosling,1980-11-12,Canadense
Anne Hathaway,1982-11-12,USA
Will Smith,1968-09-25,USA
Natalie Portman,1981-06-09,Israelense-USA
Joaquin Phoenix,1974-10-28,USA
Scarlett Johansson,1984-11-22,USA
Tom Cruise,1962-07-03,USA
Halle Berry,1966-08-14,USA
Chris Evans,1981-06-13,USA
Jessica Chastain,1977-03-24,USA
Hugh Jackman,1968-10-12,Australiano
Margot Robbie,1990-07-02,Australiana
Javier Bardem,1969-03-01,Espanhol
Penélope Cruz,1974-04-28,Espanhola
Idris Elba,1972-09-06,Britânico
Viola Davis,1965-08-11,USA
Jake Gyllenhaal,1980-12-19,USA
Amy Adams,1974-08-20,USA
Benedict Cumberbatch,1976-07-19,Britânico
Emily Blunt,1983-02-23,Britânica
Michael B. Jordan,1987-02-09,USA
Zendaya,1996-09-01,USA
Timothée Chalamet,1995-12-27,USA
Daniel Craig,1968-03-02,Britânico
Emma Watson,1990-04-15,Britânica
Colin Firth,1960-09-10,Britânico
Tilda Swinton,1960-11-05,Britânica
Jeremy Renner,1971-01-07,USA
Reese Witherspoon,1976-03-22,USA
Andrew Garfield,1983-08-20,USA-Britânico
Naomi Watts,1968-09-28,Britânica-Australiana